Abroscopus albogularis,Rufous-faced Warbler
Urocissa flavirostris,Yellow-billed Blue-Magpie
Urocolius indicus,Red-faced Mousebird
Uromyias agilis,Agile Tit-Tyrant
Uropsila leucogastra,White-bellied Wren
Urosphena squameiceps,Asian Stubtail
Vanellus armatus,Blacksmith Lapwing
Vanellus chilensis,Southern Lapwing
Vanellus coronatus,Crowned Lapwing
Vanellus indicus,Red-wattled Lapwing
Vanellus malabaricus,Yellow-wattled Lapwing
Vanellus melanopterus,Black-winged Lapwing
Vanellus miles,Masked Lapwing
Vanellus resplendens,Andean Lapwing
Vanellus senegallus,Wattled Lapwing
Vanellus spinosus,Spur-winged Lapwing
Vanellus vanellus,Northern Lapwing
Vermivora chrysoptera,Golden-winged Warbler
Vermivora cyanoptera,Blue-winged Warbler
Vidua chalybeata,Village Indigobird
Vidua macroura,Pin-tailed Whydah
Vireo altiloquus,Black-whiskered Vireo
Vireo atricapilla,Black-capped Vireo
Vireo bellii,Bell's Vireo
Vireo cassinii,Cassin's Vireo
Vireo chivi,Chivi Vireo
Vireo crassirostris,Thick-billed Vireo
Vireo flavifrons,Yellow-throated Vireo
Vireo flavoviridis,Yellow-green Vireo
Vireo gilvus,Warbling Vireo
Vireo griseus,White-eyed Vireo
Vireo gundlachii,Cuban Vireo
Vireo huttoni,Hutton's Vireo
Vireo hypochryseus,Golden Vireo
Vireo latimeri,Puerto Rican Vireo
Vireo leucophrys,Brown-capped Vireo
Vireo olivaceus,Red-eyed Vireo
Vireo pallens,Mangrove Vireo
Vireo philadelphicus,Philadelphia Vireo
Vireo plumbeus,Plumbeous Vireo
Vireo solitarius,Blue-headed Vireo
Vireo vicinior,Gray Vireo
Vireolanius leucotis,Slaty-capped Shrike-Vireo
Vireolanius melitophrys,Chestnut-sided Shrike-Vireo
Vireolanius pulchellus,Green Shrike-Vireo
Volatinia jacarina,Blue-black Grassquit
Willisornis poecilinotus,Common Scale-backed Antbird
Xanthocephalus xanthocephalus,Yellow-headed Blackbird
Xenodacnis parina,Tit-like Dacnis
Xenops minutus,Plain Xenops
Xenops rutilans,Streaked Xenops
Xenopsaris albinucha,White-naped Xenopsaris
Xenus cinereus,Terek Sandpiper
Xiphocolaptes albicollis,White-throated Woodcreeper
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper
Xipholena punicea,Pompadour Cotinga
Xiphorhynchus elegans,Elegant Woodcreeper
Xiphorhynchus erythropygius,Spotted Woodcreeper
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper
Xiphorhynchus fuscus,Lesser Woodcreeper
Xiphorhynchus guttatus,Buff-throated Woodcreeper
Xiphorhynchus lachrymosus,Black-striped Woodcreeper
Xiphorhynchus obsoletus,Striped Woodcreeper
Xiphorhynchus ocellatus,Ocellated Woodcreeper
Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper
Xiphorhynchus susurrans,Cocoa Woodcreeper
Xiphorhynchus triangularis,Olive-backed Woodcreeper
Yuhina flavicollis,Whiskered Yuhina
Yuhina gularis,Stripe-throated Yuhina
Yungipicus canicapillus,Gray-capped Pygmy Woodpecker
Zapornia flavirostra,Black Crake
Zapornia fusca,Ruddy-breasted Crake
Zapornia parva,Little Crake
Zapornia pusilla,Baillon's Crake
Zapornia tabuensis,Spotless Crake
Zebrilus undulatus,Zigzag Heron
Zeledonia coronata,Wrenthrush
Zenaida asiatica,White-winged Dove
Zenaida auriculata,Eared Dove
Zenaida macroura,Mourning Dove
Zenaida meloda,West Peruvian Dove
Zentrygon frenata,White-throated Quail-Dove
Zentrygon linearis,Lined Quail-Dove
Zimmerius acer,Guianan Tyrannulet
Zimmerius chrysops,Golden-faced Tyrannulet
Zimmerius gracilipes,Slender-footed Tyrannulet
Zimmerius parvus,Mistletoe Tyrannulet
Zimmerius viridiflavus,Peruvian Tyrannulet
Zonotrichia albicollis,White-throated Sparrow
Zonotrichia atricapilla,Golden-crowned Sparrow
Zonotrichia capensis,Rufous-collared Sparrow
Zonotrichia leucophrys,White-crowned Sparrow
Zonotrichia querula,Harris's Sparrow
Zoothera aurea,White's Thrush
Zosterops japonicus,Warbling White-eye
Zosterops lateralis,Silvereye
Zosterops meyeni,Lowland White-eye
Zosterops palpebrosus,Indian White-eye
Zosterops senegalensis,Northern Yellow White-eye
Zosterops simplex,Swinhoe's White-eye
Zosterops virens,Cape White-eye
